Brand,Car_name,Car_price(lakhs),Batter_cap(KWH),Drive_range,Power,Charge_time,Seats,transmission,Top_speed(Kmph)
MG,MG Comet EV,7.98,17.3,230,41.42,7,5,Automatic,160
Tata,Tata Tiago EV,11.99,19.2,250,65.65,6.9,5,Automatic,110
Tata,Tata Tigor EV,13.75,26,315,73.75,7.5,5,Automatic,130
MG,MG ZS EV,27.4,50.3,461,174.33,8.59,5,Automatic,180
BYD,BYD Atto 3,34.49,60.48,521,201.15,9.5,4,Automatic,94
Hyundai,Hyundai Kona Electric,23.84,39.2,452,134.1,6.16,5,Automatic,107
Mahindra,Mahindra XUV400 EV,18.99,34.5,375,149.55,6.3,5,Automatic,86
Tata,Tata Nexon EV Max,19.49,40.5,453,141.04,6,5,Automatic,130
Mercedes,Mercedes-Benz EQS,160,17.3,230,41.42,7,5,Automatic,217
Audi,Audi e-tron GT,170,19.2,250,60.34,8.3,5,Automatic,233
BMW,BMW i4,77.5,26,315,73.75,7.5,5,Automatic,190
BYD,BYD E6,29.15,50.3,461,174.33,8.59,5,Automatic,137
Porsche,Porsche Taycan,200,60.48,521,201.15,9.5,5,Automatic,240
Audi,Audi RS e-tron GT,190,39.2,452,134.1,6.16,5,Automatic,200
Mahindra,Mahindra E Verito,9.46,34.5,375,50,11.3,5,Automatic,110
Strom,Strom Motors R3,4.5,40.5,453,141.04,15,4,Automatic,40
Tata,Tata Nexon EV Prime,17.19,71.7,415,93.87,1.5,4,Automatic,120
Hyundai,Hyundai IONIQ 5,44.95,29.2,320,56.22,10.5,4,Automatic),130
Kia,Kia EV6,65.95,77.4,708,320.55,6,5,Automatic,192
BMW,BMW iX,120,111.5,372,321.84,7.25,4,Automatic,200
BMW,BMW i7,190,101.7,590,536.4,6,5,Automatic,239
Mini,Mini Cooper SE,52.5,32.6,270,181.03,2.5,4,Automatic,150
Audi,Audi e-tron,120,77.4,708,225.86,8.5,5,Automatic,190
Citroen,Citroen eC3,12.76,200,370,321.84,7.25,4,Automatic,200
Volvo,Volvo XC40 Recharge,56.9,101.7,560,536.4,28,5,Automatic,180
Jaguar,Jaguar I-Pace,120,32.6,270,181.03,2.5,5,Automatic,200
Pravaig,Pravaig DEFY,39.5,107.8,857,750.97,5.25,5,Automatic,210
PMV,PMV EaS E,4.79,93.4,388,13.41,5.15,5,Automatic,245
Mercedes,Mercedes-Benz EQB,74.5,66.5,350,225.29,6.25,4,Automatic,200
Mercedes,Mercedes-Benz EQC,99.5,83.9,493,335.25,6,5,Automatic,190
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
